Subcounty,Wards,Location,Sublocation,Site_Data,amount
Baringo South,Marigat,Kimalel,Kimalel,Land size (Sq.km),44.2
Baringo South,Marigat,Kimalel,Kimalel,"Population (KNBS, 2019)",2103
Baringo South,Marigat,Kimalel,Kimalel,"Population Density (KNBS, 2019)",48
Baringo South,Marigat,Kimalel,Kimalel,"No.of Households (KNBS, 2019)",541
Baringo South,Marigat,Kimalel,Kimalel,Households Density,12.2
Baringo South,Marigat,Kimalel,Kimalel,Targeted Households,221
Baringo South,Marigat,Kimalel,Koriema,Land size (Sq.km),43
Baringo South,Marigat,Kimalel,Koriema,"Population (KNBS, 2019)",3219
Baringo South,Marigat,Kimalel,Koriema,"Population Density (KNBS, 2019)",75
Baringo South,Marigat,Kimalel,Koriema,"No.of Households (KNBS, 2019)",866
Baringo South,Marigat,Kimalel,Koriema,Households Density,20.1
Baringo South,Marigat,Kimalel,Koriema,Targeted Households,433
Baringo South,Marigat,Kimalel,Sabor,Land size (Sq.km),78.7
Baringo South,Marigat,Kimalel,Sabor,"Population (KNBS, 2019)",1743
Baringo South,Marigat,Kimalel,Sabor,"Population Density (KNBS, 2019)",22
Baringo South,Marigat,Kimalel,Sabor,"No.of Households (KNBS, 2019)",465
Baringo South,Marigat,Kimalel,Sabor,Households Density,5.9
Baringo South,Marigat,Kimalel,Sabor,Targeted Households,233
Baringo South,Marigat,Kimondis,Kibingor,Land size (Sq.km),25.7
Baringo South,Marigat,Kimondis,Kibingor,"Population (KNBS, 2019)",911
Baringo South,Marigat,Kimondis,Kibingor,"Population Density (KNBS, 2019)",35
Baringo South,Marigat,Kimondis,Kibingor,"No.of Households (KNBS, 2019)",231
Baringo South,Marigat,Kimondis,Kibingor,Households Density,9
Baringo South,Marigat,Kimondis,Kibingor,Targeted Households,116
Baringo South,Marigat,Kimondis,Katemwa,Land size (Sq.km),21.4
Baringo South,Marigat,Kimondis,Katemwa,"Population (KNBS, 2019)",868
Baringo South,Marigat,Kimondis,Katemwa,"Population Density (KNBS, 2019)",41
Baringo South,Marigat,Kimondis,Katemwa,"No.of Households (KNBS, 2019)",231
Baringo South,Marigat,Kimondis,Katemwa,Households Density,10.8
Baringo South,Marigat,Kimondis,Katemwa,Targeted Households,116
Baringo South,Marigat,Marigat,Endao,Land size (Sq.km),39.7
Baringo South,Marigat,Marigat,Endao,"Population (KNBS, 2019)",1496
Baringo South,Marigat,Marigat,Endao,"Population Density (KNBS, 2019)",38
Baringo South,Marigat,Marigat,Endao,"No.of Households (KNBS, 2019)",338
Baringo South,Marigat,Marigat,Endao,Households Density,8.5
Baringo South,Marigat,Marigat,Endao,Targeted Households,200
Baringo South,Marigat,Marigat,Perkerra,Land size (Sq.km),15.8
Baringo South,Marigat,Marigat,Perkerra,"Population (KNBS, 2019)",8284
Baringo South,Marigat,Marigat,Perkerra,"Population Density (KNBS, 2019)",525
Baringo South,Marigat,Marigat,Perkerra,"No.of Households (KNBS, 2019)",2299
Baringo South,Marigat,Marigat,Perkerra,Households Density,145.5
Baringo South,Marigat,Marigat,Perkerra,Targeted Households,1100
Baringo South,Marigat,Marigat,Yatoi,Land size (Sq.km),67.1
Baringo South,Marigat,Marigat,Yatoi,"Population (KNBS, 2019)",9702
Baringo South,Marigat,Marigat,Yatoi,"Population Density (KNBS, 2019)",145
Baringo South,Marigat,Marigat,Yatoi,"No.of Households (KNBS, 2019)",2943
Baringo South,Marigat,Marigat,Yatoi,Households Density,43.9
Baringo South,Marigat,Marigat,Yatoi,Targeted Households,1550
Baringo South,Marigat,Total,Total,Land size (Sq.km),335.6
Baringo South,Marigat,Total,Total,"Population (KNBS, 2019)",28326
Baringo South,Marigat,Total,Total,"Population Density (KNBS, 2019)",929
Baringo South,Marigat,Total,Total,"No.of Households (KNBS, 2019)",7914
