Subcounty,Wards,Location,Sublocation,Site_Data,amount
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kanyonyo,Kanyonyo,Land size (Sq.km),237.2
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kanyonyo,Kanyonyo,"Population (KNBS, 2019)",3823
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kanyonyo,Kanyonyo,"Population Density (KNBS, 2019)",16
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kanyonyo,Kanyonyo,"No.of Households (KNBS, 2019)",1351
Kitui Rural Sub-county,Yatta-Kwa Vonza,Kanyonyo,Kanyonyo,Households Density,5.7
Kitui Rural Sub-county,Yatta-Kwa Vonza,Mikunyuni,Mikuyuni,Land size (Sq.km),74.6
Kitui Rural Sub-county,Yatta-Kwa Vonza,Mikunyuni,Mikuyuni,"Population (KNBS, 2019)",2459
Kitui Rural Sub-county,Yatta-Kwa Vonza,Mikunyuni,Mikuyuni,"Population Density (KNBS, 2019)",33
Kitui Rural Sub-county,Yatta-Kwa Vonza,Mikunyuni,Mikuyuni,"No.of Households (KNBS, 2019)",759
Kitui Rural Sub-county,Yatta-Kwa Vonza,Mikunyuni,Mikuyuni,Households Density,10.2
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Makusya,Land size (Sq.km),23.2
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Makusya,"Population (KNBS, 2019)",2128
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Makusya,"Population Density (KNBS, 2019)",92
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Makusya,"No.of Households (KNBS, 2019)",617
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Makusya,Households Density,26.6
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,Land size (Sq.km),23.3
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,"Population (KNBS, 2019)",1519
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,"Population Density (KNBS, 2019)",65
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,"No.of Households (KNBS, 2019)",951
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ilika,Ilika,Households Density,40.8
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,Land size (Sq.km),12.3
