Subcounty,Wards,Location,Sublocation,Site_Data,amount
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,"Land size (Sq.km) (KNBS, 2019)",32.3
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,"Population (KNBS, 2019)",2709
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,"Population Density (KNBS, 2019)",84
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,"No.of Households (KNBS, 2019)",694
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,Households density,21.5
Kitui Rural Sub-county,Yatta-Kwa Vonza,Yatta,Nyanyaa,Targeted Households,25
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"Land size (Sq.km) (KNBS, 2019)",28.7
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"Population (KNBS, 2019)",2179
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"Population Density (KNBS, 2019)",76
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,"No.of Households (KNBS, 2019)",761
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,Households density,26.5
Kitui Rural Sub-county,Yatta-Kwa Vonza,Ndunguni,Ndunguni,Targeted Households,25
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"Land size (Sq.km) (KNBS, 2019)",61
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"Population (KNBS, 2019)",4888
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"Population Density (KNBS, 2019)",160
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,"No.of Households (KNBS, 2019)",1455
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,Households density,48
Kitui Rural Sub-county,Yatta-Kwa Vonza,Total,Total,Targeted Households,50
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,"Land size (Sq.km) (KNBS, 2019)",77.7
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,"Population (KNBS, 2019)",2902
Kitui Rural Sub-county,Kanyangi,Kanyongonyo,Kanyongonyo,"Population Density (KNBS, 2019)",37
